Description,Year,Quarter,Month,DateofWeek,Hour,UnitPrice,Country,Discount,PaymentMethod,ShippingCost,Category,ShipmentProvider,WarehouseLocation,Actual_Quantity,Predicted_Quantity
Headphones,2022,Q1,Mar,Mon,20,83.8,Netherlands,0.38,paypall,8.43,Apparel,Royal Mail,Rome,19,24.75
Office Chair,2023,Q2,May,Mon,12,83.76,Belgium,0.15,Bank Transfer,9.19,Stationery,UPS,Paris,28,28.89
Headphones,2023,Q3,Sep,Sun,5,-70.8,Australia,1.178163853,paypall,,Stationery,FedEx,,-16,-22.96
White Mug,2021,Q3,Aug,Wed,4,66.98,Norway,0.27,Bank Transfer,16.19,Stationery,UPS,Paris,47,22.6
Wall Clock,2021,Q4,Dec,Tue,16,21.65,Germany,0.24,Credit Card,14.92,Accessories,Royal Mail,Rome,13,25.41
Notebook,2022,Q3,Jul,Tue,11,85.25,Sweden,0.22,paypall,18.72,Stationery,DHL,Paris,32,26.15
Headphones,2020,Q4,Dec,Mon,2,35.04,Norway,0.34,Credit Card,10.6,Accessories,DHL,Berlin,35,23.09
Wall Clock,2020,Q2,Jun,Fri,11,15.86,Portugal,0.01,paypall,14.7,Apparel,UPS,Rome,1,28.55
T-shirt,2023,Q1,Jan,Sun,3,30.95,Belgium,0.42,Credit Card,16.8,Furniture,Royal Mail,Amsterdam,48,22.06
Headphones,2023,Q1,Jan,Sun,0,71.97,Italy,0.38,paypall,10.04,Apparel,UPS,London,6,25.1
USB Cable,2021,Q4,Nov,Fri,22,30.21,Netherlands,0.21,paypall,8.6,Furniture,FedEx,Amsterdam,17,21.69
Office Chair,2021,Q2,May,Thu,16,80.37,Norway,0.33,paypall,9.02,Apparel,UPS,Amsterdam,33,23.45
Wall Clock,2021,Q4,Oct,Tue,20,38.31,Belgium,0.35,paypall,22.02,Furniture,DHL,Paris,12,24.69
Desk Lamp,2020,Q1,Mar,Mon,15,68.54,Australia,0.25,Bank Transfer,28.78,Accessories,FedEx,Amsterdam,22,24.9
T-shirt,2020,Q1,Mar,Sat,22,-58.69,Sweden,0.43,paypall,,Accessories,UPS,,-45,-26.39
Blue Pen,2022,Q4,Nov,Tue,5,88.11,United States,0.15,Credit Card,11.83,Furniture,FedEx,Rome,26,24.14
Notebook,2023,Q4,Oct,Fri,3,6.23,Germany,0.13,paypall,5.23,Apparel,UPS,London,31,25.33
Wall Clock,2024,Q1,Jan,Tue,0,21.43,Norway,0.06,Bank Transfer,8.48,Apparel,FedEx,Amsterdam,12,21.83
Office Chair,2020,Q1,Mar,Fri,8,91.62,Norway,0.06,paypall,14.23,Furniture,UPS,Amsterdam,26,22.56
White Mug,2023,Q4,Oct,Mon,11,19.6,Norway,0.31,Credit Card,9.4,Electronics,DHL,Amsterdam,40,27.89
Desk Lamp,2020,Q4,Nov,Fri,2,53.95,Spain,0.49,Bank Transfer,16.96,Accessories,Royal Mail,London,12,23.32
USB Cable,2021,Q3,Jul,Mon,16,88.56,United Kingdom,0.18,paypall,18.0,Stationery,UPS,,3,20.62
T-shirt,2021,Q2,May,Tue,0,16.72,Italy,0.18,paypall,29.43,Furniture,FedEx,Berlin,35,26.49
White Mug,2022,Q3,Jul,Sat,6,86.37,Germany,0.37,Bank Transfer,19.38,Electronics,Royal Mail,Berlin,18,23.32
Desk Lamp,2023,Q2,Apr,Fri,3,90.52,Spain,0.28,Bank Transfer,7.48,Apparel,Royal Mail,Paris,31,26.53
Blue Pen,2021,Q2,Apr,Tue,1,-60.51,Sweden,0.45,paypall,,Stationery,FedEx,,-47,-28.76
T-shirt,2022,Q2,Apr,Fri,0,19.43,Sweden,0.28,paypall,11.01,Apparel,Royal Mail,Paris,18,23.16
Office Chair,2020,Q3,Aug,Sat,4,4.9,Germany,0.47,paypall,29.13,Apparel,DHL,Rome,5,25.05
Office Chair,2020,Q4,Oct,Tue,12,28.12,Netherlands,0.17,Bank Transfer,,Accessories,FedEx,,-28,-28.08
Wall Clock,2024,Q1,Mar,Mon,15,55.82,France,0.32,Credit Card,21.89,Electronics,FedEx,London,2,24.3
Office Chair,2023,Q4,Nov,Sat,20,30.21,United Kingdom,0.09,paypall,23.3,Apparel,FedEx,Amsterdam,37,24.43
Wireless Mouse,2024,Q1,Mar,Mon,5,55.59,Australia,0.33,paypall,12.26,Accessories,UPS,Berlin,35,24.45
Backpack,2022,Q2,Apr,Tue,10,31.93,Italy,0.17,Bank Transfer,19.96,Electronics,DHL,Amsterdam,48,22.59
Headphones,2021,Q2,May,Wed,3,-8.35,United Kingdom,0.05,Bank Transfer,,Stationery,Royal Mail,,-44,-32.39
Wall Clock,2022,Q3,Sep,Wed,4,56.21,Netherlands,0.45,Credit Card,8.49,Apparel,Royal Mail,Amsterdam,35,26.81
Backpack,2023,Q2,May,Mon,6,32.68,Belgium,0.41,Bank Transfer,19.26,Electronics,DHL,Paris,18,23.57
Blue Pen,2024,Q3,Sep,Tue,5,39.97,Sweden,0.48,Credit Card,29.57,Furniture,Royal Mail,London,13,24.57
Backpack,2021,Q1,Jan,Tue,21,37.33,United States,0.22,Bank Transfer,17.12,Accessories,Royal Mail,Berlin,28,27.15
USB Cable,2022,Q4,Nov,Thu,16,89.9,Spain,0.15,Credit Card,29.09,Furniture,UPS,London,15,24.93
Desk Lamp,2024,Q4,Nov,Sat,12,21.64,Sweden,0.21,Bank Transfer,20.8,Accessories,FedEx,Amsterdam,39,19.49
Headphones,2022,Q3,Aug,Fri,23,79.61,United States,0.18,Bank Transfer,14.85,Stationery,Royal Mail,Amsterdam,18,23.31
Headphones,2024,Q1,Feb,Thu,14,-55.28,United States,1.823886136,Bank Transfer,,Stationery,Royal Mail,,-14,-30.77
Desk Lamp,2021,Q2,May,Mon,22,21.49,Sweden,0.47,Credit Card,26.85,Electronics,Royal Mail,Paris,23,23.3
Headphones,2024,Q4,Oct,Wed,23,62.4,Norway,0.3,Credit Card,29.1,Stationery,DHL,Berlin,30,25.08
USB Cable,2020,Q3,Jul,Mon,15,2.7,France,0.09,paypall,27.12,Electronics,DHL,Rome,4,22.36
Headphones,2024,Q1,Mar,Sat,0,-10.39,Belgium,1.182869816,Credit Card,,Accessories,FedEx,,-37,-15.01
Notebook,2020,Q1,Mar,Tue,14,30.1,Spain,0.47,Bank Transfer,19.5,Furniture,DHL,London,5,27.87
Backpack,2020,Q1,Feb,Tue,21,43.13,Netherlands,0.35,Bank Transfer,,Apparel,DHL,,-27,-25.87
T-shirt,2024,Q4,Dec,Tue,0,-59.15,Italy,1.51244623,paypall,,Furniture,UPS,,-37,-23.14
Headphones,2021,Q1,Feb,Sun,21,24.86,France,0.27,paypall,12.68,Apparel,FedEx,Paris,35,26.06
Notebook,2021,Q4,Dec,Sat,1,14.82,Germany,0.34,Credit Card,14.02,Furniture,FedEx,London,23,27.32
Wireless Mouse,2022,Q1,Mar,Thu,16,31.0,Germany,0.2,Bank Transfer,21.23,Accessories,DHL,Berlin,35,29.84
Blue Pen,2022,Q4,Nov,Mon,12,90.53,France,0.03,paypall,7.03,Apparel,DHL,Berlin,38,27.03
Desk Lamp,2020,Q3,Sep,Wed,0,89.27,Netherlands,0.02,Credit Card,8.25,Stationery,Royal Mail,Paris,35,22.23
Headphones,2024,Q3,Aug,Thu,8,71.3,Italy,0.37,Bank Transfer,28.47,Electronics,UPS,Berlin,10,23.22
Backpack,2024,Q2,Apr,Tue,17,85.23,Italy,0.44,paypall,29.76,Apparel,Royal Mail,Paris,20,23.61
Office Chair,2024,Q4,Oct,Sun,10,92.46,Netherlands,0.03,paypall,9.66,Apparel,Royal Mail,Amsterdam,44,23.85
Desk Lamp,2024,Q3,Sep,Thu,13,85.04,United Kingdom,0.18,Credit Card,28.74,Stationery,DHL,Rome,4,23.53
Notebook,2023,Q4,Nov,Wed,16,42.84,Netherlands,0.36,Credit Card,22.86,Apparel,UPS,Paris,28,25.02
Wireless Mouse,2022,Q4,Dec,Tue,1,13.34,United Kingdom,0.06,paypall,7.92,Stationery,UPS,Amsterdam,8,26.17
Desk Lamp,2023,Q2,Jun,Tue,16,25.1,Norway,0.48,Credit Card,11.28,Furniture,DHL,Rome,24,24.47
Backpack,2022,Q1,Jan,Sun,15,54.47,Portugal,0.23,Credit Card,7.32,Stationery,FedEx,Amsterdam,18,21.66
Wireless Mouse,2024,Q2,Jun,Tue,15,84.6,Portugal,0.47,Bank Transfer,22.38,Electronics,DHL,Berlin,4,22.32
Office Chair,2023,Q2,May,Wed,16,92.5,Germany,0.08,Bank Transfer,13.59,Electronics,UPS,Berlin,43,28.71
Headphones,2021,Q1,Feb,Thu,1,11.37,Germany,0.3,Bank Transfer,29.21,Accessories,DHL,,23,25.39
USB Cable,2023,Q4,Nov,Sun,10,54.99,France,0.26,Credit Card,28.87,Accessories,UPS,Amsterdam,33,23.46
White Mug,2024,Q3,Sep,Fri,17,26.68,Belgium,0.39,Credit Card,,Stationery,DHL,,-31,-28.02
Headphones,2023,Q3,Sep,Tue,2,56.15,France,0.4,Credit Card,20.1,Electronics,FedEx,London,7,26.55
Wall Clock,2024,Q1,Feb,Wed,16,77.92,Germany,0.28,Credit Card,12.35,Furniture,Royal Mail,Paris,4,26.37
Wireless Mouse,2024,Q4,Nov,Mon,6,78.25,Netherlands,0.32,paypall,26.98,Stationery,UPS,Berlin,45,25.13
Office Chair,2021,Q2,Jun,Mon,19,32.47,Sweden,0.4,Bank Transfer,18.56,Electronics,Royal Mail,,22,18.87
USB Cable,2020,Q2,May,Thu,3,59.9,Portugal,0.35,Credit Card,18.28,Stationery,FedEx,Amsterdam,45,23.46
Headphones,2023,Q3,Sep,Sat,0,15.08,Australia,0.05,Credit Card,12.69,Furniture,Royal Mail,Berlin,43,23.58
Blue Pen,2023,Q1,Mar,Fri,20,79.02,Spain,0.42,Credit Card,21.85,Apparel,Royal Mail,Amsterdam,14,29.65
Office Chair,2020,Q2,May,Sat,19,50.04,United Kingdom,0.03,paypall,26.99,Accessories,FedEx,Berlin,37,25.81
Blue Pen,2020,Q2,Jun,Tue,23,22.8,Netherlands,0.39,Credit Card,,Electronics,DHL,,-13,-31.17
Wireless Mouse,2020,Q3,Sep,Mon,14,57.08,Belgium,0.14,paypall,24.92,Apparel,DHL,Paris,36,26.31
Headphones,2023,Q2,Jun,Mon,13,43.35,Netherlands,0.11,paypall,24.33,Furniture,FedEx,Paris,43,23.92
Desk Lamp,2020,Q2,Jun,Mon,3,87.55,Netherlands,0.49,Credit Card,,Apparel,FedEx,,-11,-32.76
White Mug,2023,Q2,Apr,Fri,15,91.27,Germany,0.07,paypall,21.74,Furniture,Royal Mail,Paris,9,25.88
Wireless Mouse,2021,Q4,Dec,Fri,4,-7.83,Italy,0.22,Bank Transfer,,Accessories,DHL,,-20,-31.54
Office Chair,2022,Q4,Dec,Sat,1,-8.2,Netherlands,1.342804384,Bank Transfer,,Accessories,Royal Mail,,-28,-26.56
Blue Pen,2024,Q2,May,Sun,17,13.32,Spain,0.47,Bank Transfer,,Apparel,UPS,,-7,-26.47
Wall Clock,2022,Q1,Mar,Mon,20,10.23,Germany,0.41,Credit Card,17.81,Furniture,DHL,Amsterdam,45,21.5
USB Cable,2023,Q2,Jun,Wed,19,-91.82,Netherlands,0.17,paypall,,Electronics,Royal Mail,,-33,-33.22
Notebook,2024,Q4,Dec,Wed,15,-82.37,Germany,1.057000273,paypall,,Apparel,Royal Mail,,-13,-32.09
Headphones,2023,Q3,Sep,Sat,9,71.65,Belgium,0.14,Credit Card,,Furniture,Royal Mail,,-29,-29.1
Notebook,2020,Q2,May,Wed,6,34.97,Norway,0.2,paypall,,Apparel,UPS,,-29,-25.62
Headphones,2024,Q4,Oct,Tue,9,11.87,Netherlands,0.38,paypall,5.19,Furniture,UPS,London,6,25.91
Office Chair,2024,Q4,Dec,Fri,22,45.1,Netherlands,0.37,Bank Transfer,22.16,Apparel,UPS,Paris,40,26.17
Wall Clock,2021,Q4,Dec,Fri,19,65.86,United States,0.0,Bank Transfer,22.25,Furniture,DHL,Berlin,38,26.38
White Mug,2023,Q4,Nov,Wed,19,68.61,Sweden,0.18,Bank Transfer,27.38,Stationery,Royal Mail,London,16,24.84
Wall Clock,2024,Q1,Jan,Sun,3,95.87,Belgium,0.47,Bank Transfer,15.2,Apparel,Royal Mail,Amsterdam,2,23.6
Office Chair,2020,Q3,Sep,Tue,5,40.3,Norway,0.1,paypall,7.67,Accessories,DHL,Berlin,34,22.63
T-shirt,2023,Q2,May,Sun,13,58.26,Spain,0.13,Bank Transfer,5.94,Apparel,UPS,Rome,26,23.39
Wireless Mouse,2023,Q1,Jan,Sun,16,88.89,Belgium,0.22,Bank Transfer,26.96,Accessories,UPS,Amsterdam,39,18.79
Wireless Mouse,2023,Q1,Jan,Thu,8,2.0,Portugal,0.04,Credit Card,21.17,Accessories,FedEx,Paris,16,23.72
Backpack,2024,Q3,Sep,Sun,3,59.09,Spain,0.07,paypall,18.24,Electronics,FedEx,Amsterdam,15,26.18
Backpack,2021,Q4,Nov,Mon,15,26.26,Germany,0.35,Bank Transfer,9.11,Furniture,FedEx,Amsterdam,30,26.47
White Mug,2021,Q2,May,Mon,3,26.89,Spain,0.42,Bank Transfer,17.85,Apparel,FedEx,Rome,12,21.09
Desk Lamp,2022,Q4,Oct,Tue,4,76.39,Germany,0.13,Credit Card,13.0,Stationery,UPS,Berlin,29,26.19
Wall Clock,2021,Q2,Jun,Tue,15,50.77,France,0.5,paypall,29.53,Electronics,UPS,Berlin,40,26.15
Backpack,2021,Q3,Sep,Mon,15,62.02,Netherlands,0.39,Credit Card,23.72,Stationery,Royal Mail,Rome,43,28.2
Headphones,2022,Q3,Jul,Mon,16,69.51,Australia,0.24,Credit Card,12.05,Stationery,UPS,Rome,8,24.58
Headphones,2020,Q3,Jul,Wed,15,32.44,France,0.19,Bank Transfer,28.95,Electronics,DHL,Paris,9,27.55
Wall Clock,2021,Q3,Jul,Fri,23,21.79,Spain,0.08,Credit Card,21.97,Apparel,UPS,London,37,26.8
Headphones,2022,Q4,Oct,Mon,22,80.72,Italy,0.44,paypall,17.56,Stationery,DHL,Amsterdam,23,25.13
T-shirt,2022,Q3,Aug,Mon,5,93.21,United States,0.17,Credit Card,27.53,Accessories,Royal Mail,Amsterdam,41,22.97
Office Chair,2020,Q3,Jul,Fri,12,48.5,Norway,0.27,paypall,29.92,Electronics,UPS,Berlin,10,23.36
Headphones,2023,Q3,Jul,Tue,2,21.09,United Kingdom,0.44,Bank Transfer,5.57,Apparel,UPS,Berlin,36,25.21
USB Cable,2022,Q1,Mar,Wed,9,90.79,Norway,0.39,Bank Transfer,14.54,Electronics,DHL,Paris,5,25.09
Backpack,2023,Q2,Jun,Tue,17,41.04,United States,0.17,paypall,23.55,Apparel,UPS,Paris,45,25.19
Blue Pen,2022,Q2,Jun,Thu,17,77.11,Portugal,0.03,Bank Transfer,17.17,Stationery,UPS,Amsterdam,18,24.37
Backpack,2024,Q4,Oct,Fri,7,53.13,United States,0.11,paypall,21.72,Accessories,DHL,Rome,20,25.22
Notebook,2021,Q1,Mar,Tue,18,33.25,Spain,0.34,paypall,19.56,Furniture,DHL,Berlin,19,25.33
Notebook,2023,Q1,Jan,Sat,15,78.89,Sweden,0.27,Credit Card,23.83,Electronics,DHL,Amsterdam,47,27.21
Backpack,2024,Q3,Aug,Fri,15,41.46,Belgium,0.45,paypall,24.74,Accessories,FedEx,Amsterdam,1,23.78
Blue Pen,2023,Q2,May,Mon,13,93.34,Spain,0.27,Credit Card,22.48,Furniture,Royal Mail,London,24,25.81
Wall Clock,2021,Q2,Apr,Fri,6,9.95,Italy,0.39,Credit Card,8.37,Stationery,UPS,Berlin,31,22.52
Wireless Mouse,2023,Q1,Mar,Sun,8,54.17,United States,0.41,paypall,8.32,Accessories,FedEx,Berlin,5,25.45
White Mug,2023,Q1,Feb,Tue,19,92.49,Sweden,0.25,Credit Card,26.58,Accessories,UPS,Amsterdam,35,26.87
Office Chair,2024,Q2,May,Wed,21,82.01,Italy,0.37,Bank Transfer,13.63,Accessories,DHL,Amsterdam,39,28.14
Backpack,2021,Q3,Aug,Mon,7,49.1,Norway,0.48,paypall,7.22,Furniture,UPS,Rome,11,26.36
Wall Clock,2022,Q4,Nov,Thu,23,17.68,Sweden,0.24,Credit Card,15.73,Stationery,FedEx,London,3,28.55
USB Cable,2020,Q3,Jul,Thu,9,34.95,United States,0.38,Credit Card,15.81,Furniture,FedEx,London,20,27.77
White Mug,2023,Q2,Jun,Thu,14,39.78,Netherlands,0.04,Credit Card,26.7,Stationery,UPS,London,19,24.73
Blue Pen,2020,Q4,Oct,Thu,0,47.13,Portugal,0.15,Credit Card,11.35,Electronics,UPS,Rome,22,27.24
Wall Clock,2022,Q3,Aug,Wed,14,6.5,Portugal,0.08,Bank Transfer,9.93,Electronics,Royal Mail,Berlin,31,23.43
Wireless Mouse,2021,Q2,Jun,Tue,15,36.21,Germany,0.31,Credit Card,27.34,Electronics,UPS,London,23,27.72
Headphones,2023,Q4,Nov,Thu,16,76.64,Portugal,0.04,Credit Card,13.55,Apparel,DHL,Berlin,38,24.23
USB Cable,2022,Q1,Mar,Fri,20,-97.58,Sweden,0.42,Credit Card,,Stationery,UPS,,-37,-27.8
Backpack,2021,Q3,Sep,Sat,19,33.92,Belgium,0.04,Credit Card,5.49,Furniture,FedEx,Paris,19,24.55
Blue Pen,2021,Q3,Jul,Sat,1,3.07,United States,0.49,Bank Transfer,28.72,Stationery,UPS,Paris,14,23.78
Headphones,2022,Q3,Aug,Mon,23,54.81,Netherlands,0.4,Bank Transfer,20.83,Apparel,UPS,Paris,32,27.32
Backpack,2020,Q3,Sep,Sun,11,61.93,Australia,0.35,paypall,5.03,Apparel,DHL,London,34,25.24
T-shirt,2023,Q2,Jun,Sat,15,73.18,Belgium,0.14,paypall,16.1,Accessories,FedEx,Rome,34,26.24
Desk Lamp,2024,Q1,Mar,Fri,20,-77.01,Portugal,1.876737009,Credit Card,,Stationery,DHL,,-15,-28.37
Wireless Mouse,2023,Q1,Jan,Fri,6,89.51,United Kingdom,0.43,paypall,8.69,Electronics,Royal Mail,Amsterdam,43,20.95
White Mug,2021,Q1,Feb,Sat,5,6.62,Germany,0.49,Credit Card,26.33,Furniture,DHL,London,48,28.85
T-shirt,2023,Q4,Nov,Fri,16,44.51,Australia,0.17,paypall,29.78,Accessories,DHL,London,39,23.49
T-shirt,2021,Q4,Nov,Thu,15,71.01,Norway,0.34,paypall,13.36,Electronics,DHL,London,27,25.23
Office Chair,2021,Q1,Mar,Sat,3,50.98,Netherlands,0.4,Credit Card,25.87,Furniture,UPS,,39,20.58
Office Chair,2023,Q2,Jun,Fri,21,11.4,Belgium,0.01,Bank Transfer,11.9,Accessories,FedEx,Berlin,18,24.56
Desk Lamp,2020,Q1,Feb,Sat,12,50.23,Belgium,0.06,Credit Card,12.24,Electronics,UPS,Amsterdam,31,23.61
White Mug,2022,Q2,Apr,Sun,6,11.68,Norway,0.04,Credit Card,25.98,Furniture,Royal Mail,Paris,22,21.19
White Mug,2024,Q4,Nov,Sat,22,95.05,Netherlands,0.05,paypall,25.58,Accessories,Royal Mail,Berlin,34,25.53
Office Chair,2022,Q2,May,Sun,10,91.11,Netherlands,0.09,paypall,23.83,Furniture,FedEx,Rome,38,28.01
Notebook,2024,Q2,Apr,Wed,14,8.34,Australia,0.13,paypall,24.27,Apparel,Royal Mail,Berlin,37,23.43
Office Chair,2024,Q1,Mar,Wed,16,-63.51,Netherlands,1.832279585,paypall,,Accessories,UPS,,-5,-23.97
Headphones,2020,Q3,Aug,Wed,5,68.18,Netherlands,0.44,Credit Card,18.05,Furniture,UPS,Rome,45,26.39
Headphones,2023,Q4,Oct,Tue,13,66.77,United States,0.11,paypall,9.08,Furniture,DHL,Berlin,45,24.04
White Mug,2022,Q1,Mar,Wed,11,41.08,Australia,0.23,Credit Card,14.61,Electronics,FedEx,Paris,15,30.12
Wall Clock,2020,Q4,Nov,Thu,12,88.15,France,0.01,Bank Transfer,21.55,Apparel,DHL,Rome,11,25.91
Wall Clock,2020,Q1,Jan,Sat,22,-73.6,Germany,1.535439956,Credit Card,,Electronics,DHL,,-16,-23.52
Notebook,2023,Q2,May,Tue,16,67.06,Australia,0.43,Bank Transfer,9.8,Accessories,DHL,Amsterdam,49,22.06
Headphones,2023,Q1,Mar,Tue,2,13.8,Italy,0.32,Credit Card,16.19,Stationery,UPS,Rome,3,25.36
Backpack,2020,Q3,Sep,Tue,22,73.21,Netherlands,0.18,Credit Card,11.17,Apparel,UPS,Amsterdam,17,21.58
Office Chair,2022,Q1,Jan,Sat,2,9.48,Germany,0.36,paypall,5.73,Stationery,DHL,Paris,45,26.41
Headphones,2022,Q2,May,Wed,22,32.86,Netherlands,0.41,Credit Card,20.6,Electronics,FedEx,Berlin,16,25.49
Wireless Mouse,2022,Q4,Nov,Mon,7,90.29,United States,0.08,Credit Card,7.34,Furniture,DHL,London,48,25.2
USB Cable,2022,Q4,Oct,Mon,21,62.61,Norway,0.26,Credit Card,13.34,Accessories,FedEx,Amsterdam,24,23.63
Headphones,2022,Q2,May,Sat,8,30.88,United States,0.17,Bank Transfer,8.39,Stationery,Royal Mail,Paris,42,27.12
Backpack,2021,Q3,Sep,Sat,18,65.57,Norway,0.16,Credit Card,24.78,Furniture,FedEx,Amsterdam,18,29.39
USB Cable,2021,Q1,Jan,Sat,5,58.45,Norway,0.44,Bank Transfer,11.97,Furniture,UPS,Rome,5,25.27
USB Cable,2024,Q3,Aug,Sat,1,58.35,Sweden,0.32,paypall,17.21,Furniture,DHL,Rome,16,25.68
USB Cable,2024,Q3,Jul,Sun,5,31.81,United Kingdom,0.26,Bank Transfer,15.78,Furniture,Royal Mail,Rome,26,24.97
Backpack,2022,Q1,Feb,Wed,19,45.23,Belgium,0.44,paypall,12.5,Apparel,DHL,Amsterdam,38,19.24
Blue Pen,2020,Q1,Mar,Mon,22,-32.44,Italy,0.32,paypall,,Stationery,UPS,,-47,-32.33
Wall Clock,2021,Q2,Apr,Wed,20,36.31,Australia,0.09,Credit Card,18.17,Stationery,Royal Mail,Amsterdam,46,23.26
Wall Clock,2020,Q2,Apr,Fri,11,-34.61,United States,1.235360192,Bank Transfer,,Electronics,UPS,,-20,-22.15
Notebook,2023,Q2,May,Sat,7,30.22,Netherlands,0.44,Bank Transfer,29.78,Apparel,Royal Mail,London,12,25.5
Blue Pen,2020,Q4,Dec,Thu,4,18.99,Belgium,0.03,paypall,25.87,Stationery,DHL,London,19,27.23
White Mug,2023,Q2,Apr,Fri,14,34.93,Australia,0.14,paypall,24.52,Furniture,DHL,,26,24.32
Backpack,2021,Q1,Jan,Thu,4,2.09,Belgium,0.18,paypall,7.0,Accessories,Royal Mail,Amsterdam,9,24.14
Desk Lamp,2023,Q2,Jun,Sun,16,82.96,Norway,0.39,Credit Card,,Accessories,UPS,,-1,-25.62
Desk Lamp,2023,Q3,Jul,Thu,20,51.69,United States,0.03,Bank Transfer,15.36,Furniture,DHL,Berlin,27,22.75
Wall Clock,2024,Q1,Mar,Sun,11,62.75,Norway,0.22,Credit Card,18.79,Electronics,UPS,London,5,24.19
T-shirt,2022,Q4,Nov,Fri,13,57.81,Sweden,0.04,Credit Card,8.73,Furniture,DHL,Berlin,12,22.04
Notebook,2022,Q2,May,Tue,10,57.54,Spain,0.18,Bank Transfer,15.01,Apparel,DHL,London,21,23.71
White Mug,2021,Q4,Oct,Sun,18,37.66,Norway,0.41,Bank Transfer,18.79,Electronics,UPS,Rome,17,25.61
Notebook,2023,Q1,Mar,Wed,14,83.81,Australia,0.29,paypall,24.18,Accessories,Royal Mail,Rome,47,20.11
USB Cable,2021,Q2,Apr,Mon,17,86.81,United States,0.1,Bank Transfer,16.77,Accessories,FedEx,London,28,25.46
Notebook,2024,Q2,May,Tue,12,59.59,United States,0.35,paypall,23.12,Stationery,FedEx,Berlin,45,24.26
USB Cable,2024,Q2,May,Thu,15,22.57,Australia,0.34,Credit Card,14.79,Stationery,DHL,Paris,19,22.34
Notebook,2023,Q1,Jan,Wed,2,-60.09,France,1.223788831,Credit Card,,Furniture,Royal Mail,,-19,-30.36
Office Chair,2023,Q3,Sep,Mon,21,8.19,Sweden,0.38,Credit Card,27.47,Apparel,DHL,,18,22.03
USB Cable,2023,Q3,Aug,Sat,2,73.61,Germany,0.49,Credit Card,19.75,Stationery,DHL,London,48,24.83
USB Cable,2024,Q3,Jul,Mon,0,9.98,Sweden,0.37,Bank Transfer,25.93,Accessories,UPS,London,31,25.76
Backpack,2023,Q3,Jul,Sat,19,36.35,Italy,0.25,Credit Card,17.52,Furniture,UPS,Rome,31,22.48
Wall Clock,2021,Q4,Nov,Mon,22,10.76,Norway,0.02,Credit Card,22.61,Furniture,UPS,London,20,28.66
Office Chair,2020,Q3,Aug,Sun,0,97.15,Portugal,0.37,Credit Card,,Furniture,FedEx,,-1,-26.62
T-shirt,2020,Q3,Sep,Thu,4,31.86,Norway,0.24,Bank Transfer,,Accessories,UPS,,-21,-26.79
Blue Pen,2022,Q4,Nov,Thu,9,35.21,Portugal,0.37,Bank Transfer,19.11,Furniture,FedEx,Berlin,6,25.57
Office Chair,2021,Q2,May,Wed,2,37.13,Spain,0.08,Credit Card,6.55,Electronics,UPS,London,5,25.66
Headphones,2023,Q4,Dec,Sat,4,-71.62,Netherlands,0.41,Credit Card,,Apparel,FedEx,,-34,-26.98
USB Cable,2020,Q2,Jun,Tue,22,9.34,United States,0.16,paypall,,Apparel,DHL,,-25,-27.69
Desk Lamp,2022,Q2,Jun,Thu,22,-54.42,Netherlands,1.853306059,Credit Card,,Electronics,FedEx,,-18,-26.52
Wireless Mouse,2021,Q1,Feb,Wed,19,12.82,Netherlands,0.48,paypall,6.35,Stationery,DHL,Berlin,44,29.35
Notebook,2020,Q1,Mar,Thu,18,2.94,Germany,0.0,paypall,17.94,Electronics,UPS,London,8,27.39
Desk Lamp,2021,Q4,Nov,Tue,12,-63.72,Italy,1.735645853,Bank Transfer,,Electronics,FedEx,,-41,-24.13
White Mug,2023,Q3,Sep,Sun,19,83.46,United Kingdom,0.09,Bank Transfer,24.96,Stationery,FedEx,Rome,8,25.92
Backpack,2023,Q2,May,Mon,3,70.83,Italy,0.12,Credit Card,22.21,Stationery,Royal Mail,Berlin,10,25.92
Blue Pen,2023,Q2,Jun,Wed,7,24.2,United Kingdom,0.2,Credit Card,9.79,Apparel,Royal Mail,London,11,24.89
White Mug,2024,Q3,Jul,Wed,7,88.6,Australia,0.26,paypall,19.73,Furniture,FedEx,Amsterdam,19,26.02
Desk Lamp,2021,Q4,Dec,Sun,17,78.46,Norway,0.34,paypall,19.15,Furniture,DHL,,35,23.3
Desk Lamp,2024,Q1,Feb,Sun,12,2.7,Sweden,0.39,Credit Card,10.39,Electronics,FedEx,London,5,24.96
Notebook,2022,Q1,Jan,Wed,7,27.73,Sweden,0.41,Bank Transfer,25.37,Apparel,DHL,London,39,25.81
Notebook,2023,Q3,Jul,Wed,16,74.57,Norway,0.11,Bank Transfer,28.08,Accessories,FedEx,Paris,40,28.77
Wall Clock,2022,Q4,Oct,Mon,20,94.59,Germany,0.4,Credit Card,11.55,Furniture,UPS,London,49,25.71
Desk Lamp,2021,Q4,Dec,Sun,5,-67.1,Spain,1.883746668,paypall,,Electronics,Royal Mail,,-17,-28.42
Office Chair,2023,Q1,Mar,Thu,18,33.88,United States,0.49,Credit Card,9.06,Electronics,UPS,Rome,13,23.81
Headphones,2024,Q2,Jun,Sun,23,26.25,Portugal,0.35,paypall,21.81,Furniture,DHL,Rome,46,26.86
USB Cable,2020,Q2,Apr,Thu,23,18.4,United States,0.21,Bank Transfer,26.3,Apparel,Royal Mail,Amsterdam,18,22.95
